"accepted_1" "accepted_2" "accepted_3" "accepted_4" "accepted_5" "accepted_01" "accepted_02" "accepted_03" "accepted_04" "accepted_05"
"E068084" 1 2 1 1 2 0 35 10 32 19
"E067244" 2 1 3 4 1 0 66 29 19 34
"E067806" 3 3 2 2 3 0 52 20 53 45
"E067819" 4 6 4 3 12 0 86 21 38 58
"E065920" 5 14 24 11 16 1 2 2 2 2
"E026753" 6 4 7 12 6 0 0 0 0 0
"E066645" 7 20 43 15 27 0 0 0 0 0
"E067304" 8 7 5 5 7 0 0 0 0 0
"E036339" 9 0 0 8 71 2 5 3 3 1
"E032701" 10 18 26 19 18 0 0 0 0 0
"E059401" 11 15 27 21 19 0 0 0 0 0
"E015040" 12 31 28 0 54 0 0 0 0 0
"E061538" 13 21 35 23 29 0 0 0 0 0
"E002396" 14 27 59 29 43 0 0 0 0 0
"E002401" 15 28 60 30 44 0 0 0 0 0
"E066039" 16 0 0 0 0 0 0 0 0 0
"E068027" 17 19 21 14 14 0 0 0 0 0
"E037959" 18 5 8 13 4 0 0 0 0 0
"E061441" 19 0 0 0 0 0 0 0 0 0
"E024004" 20 35 68 42 69 0 0 0 0 0
"E062215" 21 49 12 10 9 0 0 0 0 0
"E004512" 22 9 6 6 5 0 0 0 0 0
"E021502" 23 32 71 50 57 0 0 0 0 0
"E045941" 24 0 81 58 72 0 0 0 0 0
"E003072" 25 0 0 0 0 0 0 0 0 0
"E042271" 26 0 0 46 0 0 4 5 6 6
"E003069" 27 0 0 0 0 0 0 0 0 0
"E008041" 28 56 83 16 28 0 0 0 0 0
"E004400" 29 10 17 31 21 0 0 0 0 0
"E024005" 30 60 92 73 0 0 0 0 0 0
"E044409" 31 8 9 22 8 0 1 1 1 3
"E015039" 32 0 100 0 0 0 0 0 0 0
"E031399" 33 34 66 55 78 0 0 0 0 0
"E020975" 34 26 18 18 20 0 0 0 0 0
"E043132" 35 63 0 89 0 0 0 0 0 0
"E031398" 36 40 74 65 76 0 0 0 0 0
"E013785" 37 53 85 57 63 0 0 0 0 0
"E024009" 38 68 0 0 0 0 0 0 0 0
"E043134" 39 47 0 0 0 0 0 0 0 0
"E027822" 40 0 0 99 0 0 0 0 0 0
"E060729" 41 38 61 60 56 0 0 0 0 0
"E043236" 42 50 48 32 33 0 0 0 0 0
"E043240" 43 51 49 33 34 0 0 0 0 0
"E048998" 44 71 0 72 0 23 0 0 0 0
"E050694" 45 55 97 88 75 0 0 0 0 0
"E013263" 46 61 0 0 0 0 0 0 0 0
"E005234" 47 52 96 67 70 0 0 0 0 0
"E003068" 48 0 0 0 0 0 0 0 0 0
"E027431" 49 59 0 81 0 0 0 0 0 0
"E031222" 50 65 0 79 89 0 0 0 0 0
"E012701" 51 24 37 0 46 0 0 0 0 0
"E046442" 52 0 0 0 0 0 0 0 0 0
