"accepted_01" "accepted_02" "accepted_03" "accepted_04" "accepted_05" "accepted_06" "accepted_07" "accepted_08" "accepted_09" "accepted_010" "accepted_1" "accepted_2" "accepted_3" "accepted_4" "accepted_5"
"AAEL801271:1" 0 0 0 0 0 1 0 0 0 0 70 47 5 6 21
"AAEL801272:1" 0 0 0 0 0 1 0 0 0 0 22 26 1 2 0
"AAEL801273:1" 0 0 0 0 0 0 0 0 0 0 57 45 4 5 21
"AAEL801274:1" 0 0 0 0 0 0 0 1 0 0 46 20 3 3 72
"AAEL801275:1" 0 0 0 0 0 0 0 0 0 0 33 18 1 1 11
"AAEL801276:1" 0 0 1 0 0 2 1 2 1 2 115 0 2 2 23
"AAEL801277:1" 0 0 0 0 0 0 0 0 0 0 16 14 2 2 1
"AAEL801278:1" 0 0 0 0 0 0 0 0 0 0 46 35 3 3 21
"AAEL801281:1" 0 0 0 0 0 0 0 1 0 0 15 10 0 0 20
"AAEL801282:1" 0 0 0 0 0 0 0 0 0 0 22 0 0 1 0
"AAEL801283:1" 0 0 0 0 0 0 0 0 1 0 0 2 3 1 20
"AAEL801283:2" 0 0 0 0 0 0 0 1 1 1 10 45 20 19 209
"AAEL801284:1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAEL801284:2" 0 0 0 0 0 0 0 0 1 7 4 26 59 16 208
"AAEL801285:1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAEL801285:2" 0 0 0 0 0 0 0 0 0 0 2 7 10 0 22
"AAEL801286:1" 0 0 1 1 4 5 0 0 0 0 0 1 1 0 0
"AAEL801286:2" 0 8 23 14 23 23 8 13 15 9 4 17 9 11 99
"AAEL801287:1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAEL801287:2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAEL801288:1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAEL801288:2" 0 3 2 2 1 5 3 5 6 3 2 6 6 5 64
"AAEL801289:1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAEL801289:2" 0 0 0 0 0 0 0 2 0 2 0 1 3 1 20
"AAEL801290:1" 0 0 0 1 3 1 1 1 3 0 0 0 0 0 0
"AAEL801290:2" 0 3 2 3 11 4 7 9 15 7 2 4 2 3 28
"AAEL801291:1" 0 0 1 0 0 0 1 0 2 1 0 0 0 0 0
"AAEL801291:2" 0 0 1 1 2 3 1 2 7 3 0 1 1 0 0
"AAEL801292:1" 0 0 0 0 0 1 0 0 0 1 0 1 0 0 20
"AAEL801292:2" 0 0 0 0 0 0 0 0 0 0 1 5 8 3 2
"AAEL801293:1" 0 0 0 0 0 1 0 0 0 0 0 0 1 0 20
"AAEL801293:2" 0 0 0 0 0 0 0 0 0 0 0 6 8 9 61
"AAEL801294:1" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 12
"AAEL801295:1" 0 0 0 0 0 0 0 0 0 1 0 5 8 1 101
"AAEL801295:2" 0 0 2 0 1 0 0 3 0 4 29 30 71 23 1036
"AAEL801296:1" 0 3 0 3 5 0 4 3 5 4 5 10 20 19 221
"AAEL801296:2" 0 0 0 0 0 0 0 0 0 0 0 1 2 2 21
"AAEL801297:1" 0 0 0 0 0 1 7 16 9 14 0 0 1 6 37
"AAEL801297:2" 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0
"AAEL801298:1" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"AAEL801298:2" 0 0 0 0 0 4 1 5 8 7 6 40 22 53 530
"AAEL801299:1" 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"AAEL801299:2" 0 0 1 0 0 1 1 0 0 1 0 4 16 12 315
"AAEL801300:1" 0 0 0 0 0 0 0 0 0 0 2 14 12 29 40
"AAEL801300:2" 0 0 0 0 0 0 0 0 1 0 9 154 188 99 777
"AAEL801301:1" 0 0 0 2 3 1 0 2 4 1 0 0 2 2 0
"AAEL801301:2" 0 5 2 5 4 11 13 7 12 12 1 1 5 4 43
"AAEL801302:1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAEL801302:2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAEL801303:1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAEL801303:2" 0 0 1 0 0 0 0 2 0 0 81 475 369 176 3139
"AAEL801304:1" 0 0 1 1 7 3 5 4 4 6 1 1 2 6 57
"AAEL801304:2" 0 0 1 0 1 0 1 0 0 1 1 0 3 2 0
"AAEL801305:1" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"AAEL801305:133" 0 0 0 0 0 0 2 0 1 3 0 0 0 0 0
